expediente;principioactivo;cantidad;unidadmedida;unidadreferencia;formafarmaceutica;registrosanitario;fechaexpedicion;fechavencimiento;estadoregistro
19999105;FENILEFRINA CLORHIDRATO;10;mg;SOBRE X 18 G DEGRANULADOPARARECONSTITUIR A SOLUCI”NORAL;GRANULOS;INVIMA 2023M-0011257-R2;08/25/2010;;Vigente
20121277;AMOXICILINA TRIHIDRATO 289.89 MG EQUIVALENTES A AMOXICILINA;250;mg;5 ML DE SUSPENSI”N ORAL;POLVO PARA RECONSTITUIR A SUSPENSION ORAL;INVIMA 2019M-0019001;5/08/2019;;Vigente
11701;AZITROMICINA DIHIDRATO EQUIVALENTE AAZITROMICINA*(*PUEDE VARIAR DE ACUERDO A LA POTENCIA DEL ACTIVO);4;g;100G DE POLVO PARARECONSTITUIR A 100 MLDE SUSPENSI”N;POLVO PARA RECONSTITUIR A SUSPENSION ORAL;INVIMA 2022M-002521-R3;7/12/1995;;Vigente
20079710;FOSFATO MONOS√ìDICO MONOHIDRATO 130.00 MG EQUIVALENTE A F√ìSFORO;29;mg;TABLETARECUBIERTA;TABLETA RECUBIERTA;INVIMA 2021M-0016270-R1;9/11/2015;;Vigente
20187198;TUROCTOCOG ALFA PEGOL;2000;UI;VIAL;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2022MBT-0000058;8/01/2022;;Vigente
20061109;ESZOPICLONA;2;mg;TABLETA CUBIERTA;TABLETA CUBIERTA CON PELICULA;INVIMA 2021M-0014836-R1;01/17/2014;;Vigente
20252575;SULFATO DE PSEUDOEFEDRINA;1200;mg;CADA 100 ML DE JARABE;JARABE;RSM-EXP20240021461;5/02/2024;1/01/3000;Vigente
19962547;DIFENHIDRAMINACLORHIDRATO;10;mg;AMPOLLA POR 1ML;SOLUCION INYECTABLE;INVIMA 2017M-0005582-R1;4/10/2006;;Vigente
215874;TARTRATO DE BRIMONIDINA;2;mg;1 ML;SOLUCION OFTALMICA;INVIMA 2023M-007053-R3;9/11/1997;;Vigente
20147823;I 131 COMO YODURO DE SODIO EN SOLUCI√ìN ACUOSA(37 A 7400 MBQ EN LA FECHA Y HORADE CALIBRACI√ìN);7400;MBq;C√ÅPSULA;CAPSULA DURA;INVIMA 2019M-0019407;11/06/2019;;Vigente
20187776;ABEMACICLIB;150;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2021M-0020123;04/22/2021;;Vigente
19924904;DESONIDA;0.05;g;100 ML DE EMULSION;EMULSI√ìN;INVIMA 2023M-0000731-R3;11/20/2001;;Vigente
20199290;SIMVASTATINA;20;mg;TABLETAS;TABLETA;INVIMA 2023M-0021109;10/31/2023;;Vigente
20057095;LUBIPROSTONE;8;mcg;CAPSULA BLANDA;CAPSULA BLANDA;INVIMA 2022M-0014693-R1;11/13/2013;;Vigente
20218820;METRONIDAZOL BENZOATO 8.04 G EQUIVALENTE A METRONIDAZOL;5;g;100 ML DE SUSPENSI”N ORAL;SUSPENSION ORAL;INVIMA 2023M-0021132;11/22/2023;;Vigente
19956218;LEUPROLIDE ACETATO;22.5;mg;JERINGA RECONSTITUIDA DISPENSA;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2022M-0004777-R2;09/14/2005;;Vigente
20198837;LEVOCETIRIZINA DICLORHIDRATO;50;mg;100 ML DE SOLUCI”N ORAL;SOLUCION ORAL;INVIMA 2021M-0020473;11/11/2021;;Vigente
20152346;ISOTRETINOINA;10;mg;CAPSULA BLANDA;CAPSULA BLANDA;INVIMA 2023M-0021075;09/26/2023;;Vigente
19927730;CLORHIDRATO DE VALGANCICLOVIR 496.3 MG EQUIVALENTE A VALGANCICLOVIR;450;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2019M-0001251-R2;4/05/2002;;Vigente
20075865;BETAHISTINA CLORHIDRATO;24;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2020M-0015677-R1;2/06/2015;;Vigente
20121566;TERBINAFINA CLORHIDRATO 1.125 G EQUIVALENTE A TERBINAFINA BASE;1;g;100 G DE GEL CONTIENEN:;CREMAS. GELES. UNGUENTOS Y PASTAS;INVIMA 2019M-0018696;1/08/2019;;Vigente
20047268;ACIDO FUSIDICO;2;mg.;100 GRAMOS DE CREMA;CREMA TOPICA;INVIMA 2013M-0013978;01/31/2013;1/01/3000;Vigente
20012535;ISOFLAVONAS DE SOYA EQUIVALENTE AISOFLAVONAS TOTALES;80;mg;TABLETA;TABLETA RECUBIERTA;INVIMA 2020M-0010700-R1;04/23/2010;;Vigente
20015777;AMLODIPINO BESILATO 13.87 MG EQUIVALENTE A AMLODIPINO;10;mg;TABLETA;TABLETA CUBIERTA CON PELICULA;INVIMA 2023M-0011477-R2;10/14/2010;;Vigente
20143105;ETINILESTRADIOL;0.035;mg;COMPRIMIDOS RECUBIERTOS;TABLETA RECUBIERTA;INVIMA 2023M-0021215;12/19/2023;1/01/3000;Vigente
20082415;PERINDOPRIL ARGININA;5;mg;COMPRIMIDO RECUBIERTO CON PELICULA;TABLETA RECUBIERTA;INVIMA 2015M-0016652;12/04/2015;;Vigente
19933606;L-ARGININA;7.5;g;1000 ML;SOLUCION INYECTABLE;INVIMA 2020M-0002693-R2;08/19/2003;;Vigente
