CodigoCUPS;Descripcion;QueEs
10101;PUNCIÓN CISTERNAL VÍA LATERAL;Procedimiento para extraer evaluar y medir la presión del líquido cefalorraquídeo que rodea el cerebro y la médula espinal por medio de una aguja que se introduce en la parte lateral de la base del cráneo guiado por fluoroscopia.
10102;PUNCIÓN CISTERNAL VÍA MEDIAL;Procedimiento para extraer evaluar y medir la presión del líquido cefalorraquídeo que rodea el cerebro y la médula espinal por medio de una aguja que se introduce en la parte media de la base del cráneo guiado por fluoroscopia.
10103;PUNCIÓN CISTERNAL;Procedimiento para extraer evaluar y medir la presión del líquido cefalorraquídeo que rodea el cerebro y la médula espinal por medio de una aguja que se introduce en la parte  inferior del hueso occipital guiado por fluoroscopia.
10201;PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR A TRAVÉS DE CATÉTER PREVIAMENTE IMPLANTADO;Procedimiento para la extracción de líquido de los ventrículos laterales del cerebro a través de un catéter previamente implantado.
10202;PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR POR TREPANACIÓN (SIN CATÉTER);Procedimiento para la aspiración de líquido de los ventrículos laterales del cerebro mediante la perforación del cráneo.
10203;PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR A TRAVÉS DE UN RESERVORIO;Procedimiento para la evacuación de líquido cefalorraquídeo a partir de un reservorio (depósito) subcutáneo
10204;PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR VÍA TRANSFONTANELAR;Procedimiento consistente en la aspiración de líquido cefalorraquídeo del ventrículo lateral del cerebro a través de la fontanela en los niños
10205;PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR;Procedimiento para el abordaje de los ventrículos laterales del cerebro por medio de una aguja o trocar con fines diagnósticos o terapéuticos.
10901;PUNCIÓN SUBDURAL;Procedimiento para la inyección de medicamentos diagnósticos o terapéuticos o para la aspiración de sangre u otro líquido en el espacio subdural ubicado entre las membranas duramadre y aracnoides que recubren el encéfalo y la médula espinal.
10902;OTRA PUNCIÓN CRANEAL;Procedimiento para la inyección de medicamentos diagnósticos o terapéuticos o para la aspiración de sangre u otro líquido anivel craneal.
11101;BIOPSIA ÓSEA EN CRÁNEO POR CRANEOTOMÍA;Procedimiento para la extracción de un fragmento de hueso del cráneo mediante la apertura quirúrgica del mismo con fines diagnósticos.
11102;BIOPSIA ÓSEA EN CRÁNEO POR CRANIECTOMÍA;Procedimiento para la extracción de un fragmento de hueso del cráneo por desprendimiento completo de un colgajo óseo con fines diagnósticos.
11103;BIOPSIA DE CRÁNEO;Procedimiento para la extracción de un fragmento de cráneo con fines diagnósticos.
11201;BIOPSIA DE MENINGE POR CRANEOTOMÍA;Procedimiento para la extracción de un fragmento de las meninges o membranas que recubren el cerebro y la médula espinal con fines diagnósticos mediante la apertura del cráneo e incisión en el área afectada.
11202;BIOPSIA DE MENINGE CEREBRAL;Procedimiento para la extracción de un fragmento de las meninges o membranas que recubren el cerebro y la médula espinal con fines diagnósticos.
11301;BIOPSIA CERRADA (PERCUTÁNEA) (AGUJA) DE CEREBRO;Procedimiento para la extracción de muestras de tejido cerebral a través de una aguja con fines diagnósticos.
11302;BIOPSIA ABIERTA (CRANEOTOMÍA) DE CEREBRO;Procedimiento para la extracción en quirófano de muestras de tejido cerebral con fines diagnósticos mediante apertura del cráneo e incisión en el área afectada.
11303;BIOPSIA DE CEREBRO POR TREPANACIÓN;Procedimiento para la extracción de muestras de tejido cerebral con fines diagnósticos mediante la perforación de los huesos del cráneo.
11306;BIOPSIA DE CEREBRO SUPERFICIAL POR ESTEREOTAXIA;Procedimiento quirúrgico mínimamente invasivo para la extracción de muestras de tejido cerebral superficial con fines diagnósticos guiado por una técnica compleja de imágenes que indican la ubicación exacta de la lesión.
11307;BIOPSIA DE CEREBRO PROFUNDA POR ESTEREOTAXIA;Procedimiento quirúrgico mínimamente invasivo para la extracción de muestras de tejido cerebral profundo con fines diagnósticos guiado por una técnica compleja de imágenes que indican la ubicación exacta de la lesión.
12101;CRANEALIZACIÓN DE SENO FRONTAL;Procedimiento quirúrgico consistente en la apertura del seno frontal (cavidades aéreas que se encuentran en el hueso frontal) y retiro o extracción de la pared posterior del mismo.
12102;INCISIÓN Y DRENAJE DE SENO FRONTAL;Procedimiento realizado para la evacuación de cualquier sustancia del seno frontal (cavidades aéreas que se encuentran en el hueso frontal)
12103;DESFUNCIONALIZACIÓN DE SENO FRONTAL;Procedimiento quirúrgico para el manejo de fracturas de seno frontal consistente en eliminar la mucosa remanente que los recubre (desfuncionalización) y la obliteración (cerrar) de los espacios muertos remanentes para bloquear el conducto nasofrontal.
12201;RETIRO O SUSTITUCIÓN DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO;Procedimiento para retirar o reemplazar un neuroestimulador (estimulador neurológico) ubicado a nivel del parénquima  cerebral (tejido funcional del cerebro)
12202;RETIRO O SUSTITUCIÓN DE ELECTRODO EPIDURAL;Procedimiento para retirar o reemplazar un neuroestimulador (estimulador neurológico) ubicado a nivel del espacio  epidural (espacio  entre la duramadre y la pared ósea del cráneo)
12203;RETIRO O SUSTITUCIÓN DE ELECTRODO SUBDURAL;Procedimiento para retirar o reemplazar un neuroestimulador (estimulador neurológico) ubicado a nivel del espacio subdural (espacio entre las dos membranas que cubren el cerebro: la aracnoides y la duramadre)
12204;RETIRO O SUSTITUCIÓN DE ELECTRODO A NERVIO CRANEAL O PERIFÉRICO;Procedimiento para retirar o reemplazar un neuroestimulador (estimulador neurológico) ubicado a nivel de un nervio craneal o periferico
12205;RETIRO O SUSTITUCIÓN DE NEUROESTIMULADOR INTRACRANEAL;Procedimiento para retirar o reemplazar neuroestimulador (estimulador neurológico) colocado a nivel del tejido cerebral
12206;REVISIÓN DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO;Procedimiento para revisar un neuroestimulador (estimulador neurológico) previamente colocado a nivel del parénquima del cerebro (tejido funcional del cerebro)
12207;REVISIÓN DE ELECTRODO EPIDURAL;Procedimiento para  revisar un neuroestimulador (estimulador neurológico) previamente colocado  a nivel del espacio epidural (espacio  entre la duramadre y la pared ósea del cráneo)
12208;REVISIÓN DE ELECTRODO SUBDURAL;Procedimiento para revisar un neuroestimulador (estimulador neurológico)  previamente colocado  a nivel del espacio subdural (espacio entre dos membranas que cubren el cerebro: la aracnoides y la duramadre)
12209;REVISIÓN DE ELECTRODO A NERVIO CRANEAL O PERIFÉRICO;Procedimiento para revisar un neuroestimulador (estimulador neurológico)  previamente colocado  a nivel de un nervio craneal o periferico
12210;REVISIÓN DE NEUROESTIMULADOR;Procedimiento para revisar un neuroestimulador (estimulador neurológico)  previamente colocado
12300;REAPERTURA DE CRANEOTOMÍA SOD;Nueva apertura del cráneo para diagnóstico o tratamiento de enfermedades del Sistema Nervioso Central.
12401;DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL POR CRANEOTOMÍA;Procedimiento consistente en la evacuación de líquido o sangre del espacio comprendido entre la duramadre (meninge o membrana externa del cerebro o médula espinal) y el hueso del cráneo mediante apertura quirúrgica del mismo.
12402;DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR POR CRANEOTOMÍA;Procedimiento realizado para la evacuación de líquido o sangre del espacio comprendido entre la duramadre y el hueso del cráneo parte posterior mediante apertura quirúrgica del mismo.
12403;CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);Procedimiento quirúrgico consistente en la apertura del cráneo para descompresión o exploración de las estructuras  del Sistema Nervioso Central.
12410;EXTRACCIÓN DE CUERPO EXTRAÑO INTRACRANEAL POR CRANEOTOMÍA;Procedimiento quirúrgico consistente en la remoción o retiro de partículas extrañas ubicadas dentro del cráneo mediante apertura del mismo.
12501;SECUESTRECTOMÍA DE CRÁNEO POR CRANIECTOMÍA;Eliminación quirúrgica de un fragmento de hueso muerto parcial o totalmente desprendido del hueso sano adyacente por incisión quirúrgica del cráneo.
